index	status	input	source	line	column	returncode	seconds	message
0	PASS	init/main.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/init/main.c			0	2.684	
1	FAIL	init/version.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/init/version.c	20739	368	1	0.081	integer initializer type mismatch
2	FAIL	init/do_mounts.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/init/do_mounts.c	85095	53	1	2.505	conditional expression branches have incompatible types
3	FAIL	init/do_mounts_initrd.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/init/do_mounts_initrd.c	62265	27	1	1.144	unsupported external object definition
4	FAIL	init/initramfs.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/init/initramfs.c	59102	29	1	1.080	expected expression
5	PASS	init/calibrate.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/init/calibrate.c			0	0.119	
6	FAIL	init/init_task.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/init/init_task.c	63193	18	1	1.071	backward static record designator currently requires a direct scalar field
7	PASS	arch/riscv/kernel/pi/cmdline_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/pi/cmdline_early.c			0	0.281	
8	PASS	arch/riscv/kernel/pi/fdt_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/pi/fdt_early.c			0	0.009	
9	PASS	arch/riscv/kernel/pi/string.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/lib/string.c			0	0.249	
10	PASS	arch/riscv/kernel/pi/ctype.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/lib/ctype.c			0	0.002	
11	PASS	arch/riscv/kernel/pi/lib-fdt.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/lib/fdt.c			0	0.013	
12	PASS	arch/riscv/kernel/pi/lib-fdt_ro.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/lib/fdt_ro.c			0	0.016	
13	PASS	arch/riscv/kernel/soc.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/soc.c			0	0.425	
14	PASS	arch/riscv/kernel/alternative.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/alternative.c			0	0.859	
15	PASS	arch/riscv/kernel/cpu.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/cpu.c			0	0.923	
16	PASS	arch/riscv/kernel/cpufeature.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/cpufeature.c			0	1.029	
17	PASS	arch/riscv/kernel/irq.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/irq.c			0	1.122	
18	PASS	arch/riscv/kernel/process.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/process.c			0	0.931	
19	PASS	arch/riscv/kernel/ptrace.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/ptrace.c			0	0.849	
20	PASS	arch/riscv/kernel/reset.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/reset.c			0	0.097	
21	PASS	arch/riscv/kernel/return_address.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/return_address.c			0	0.892	
22	PASS	arch/riscv/kernel/setup.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/setup.c			0	1.595	
23	PASS	arch/riscv/kernel/signal.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/signal.c			0	1.421	
24	PASS	arch/riscv/kernel/syscall_table.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/syscall_table.c			0	1.360	
25	PASS	arch/riscv/kernel/sys_riscv.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/sys_riscv.c			0	1.292	
26	PASS	arch/riscv/kernel/time.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v10/linux-6.6.143/arch/riscv/kernel/time.c			0	0.795	
