index	status	input	source	line	column	returncode	seconds	message
32	FAIL	arch/riscv/kernel/vdso.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/vdso.c	48088	49	1	0.985	expected '=' after static record array
33	PASS	arch/riscv/kernel/vector.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/vector.c			0	0.872	
34	PASS	arch/riscv/kernel/smpboot.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/smpboot.c			0	1.663	
35	PASS	arch/riscv/kernel/smp.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/smp.c			0	1.498	
36	PASS	arch/riscv/kernel/cpu_ops.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/cpu_ops.c			0	1.098	
37	FAIL	arch/riscv/kernel/module.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/module.c	45452	33	1	0.927	expected ')' after function declarator
38	PASS	arch/riscv/kernel/module-sections.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/module-sections.c			0	0.911	
39	FAIL	arch/riscv/kernel/suspend.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/suspend.c	48524	39	1	1.073	record initializer value type mismatch
40	PASS	arch/riscv/kernel/perf_callchain.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/perf_callchain.c			0	1.673	
41	PASS	arch/riscv/kernel/perf_regs.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/perf_regs.c			0	1.675	
42	PASS	arch/riscv/kernel/sbi.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/sbi.c			0	0.191	
43	PASS	arch/riscv/kernel/sbi-ipi.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/sbi-ipi.c			0	1.507	
44	PASS	arch/riscv/kernel/cpu_ops_sbi.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/cpu_ops_sbi.c			0	1.046	
