index	status	input	source	line	column	returncode	seconds	message
0	PASS	init/main.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/init/main.c			0	3.366	
1	FAIL	init/version.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/init/version.c	20739	368	1	0.147	integer initializer type mismatch
2	FAIL	init/do_mounts.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/init/do_mounts.c	100901	74	1	4.402	overflow builtin currently requires matching non-bool integer operands and result pointee
3	FAIL	init/do_mounts_initrd.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/init/do_mounts_initrd.c	62265	27	1	1.708	unsupported external object definition
4	FAIL	init/initramfs.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/init/initramfs.c	59388	27	1	1.582	call argument type does not match declaration
5	PASS	init/calibrate.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/init/calibrate.c			0	0.206	
6	FAIL	init/init_task.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/init/init_task.c	63193	18	1	1.817	backward static record designator currently requires a direct scalar field
7	PASS	arch/riscv/kernel/pi/cmdline_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/arch/riscv/kernel/pi/cmdline_early.c			0	0.482	
8	PASS	arch/riscv/kernel/pi/fdt_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/arch/riscv/kernel/pi/fdt_early.c			0	0.017	
9	PASS	arch/riscv/kernel/pi/string.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/lib/string.c			0	0.411	
10	PASS	arch/riscv/kernel/pi/ctype.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v13/linux-6.6.143/lib/ctype.c			0	0.003	
