index	status	input	source	line	column	returncode	seconds	message
0	PASS	init/main.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/init/main.c			0	3.421	
1	FAIL	init/version.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/init/version.c	20748	57	1	0.141	unsupported GNU object attribute
2	FAIL	init/do_mounts.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/init/do_mounts.c	1	1	1	4.806	cannot write RISC-V assembly
3	PASS	init/do_mounts_initrd.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/init/do_mounts_initrd.c			0	1.986	
4	PASS	init/initramfs.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/init/initramfs.c			0	1.931	
5	PASS	init/calibrate.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/init/calibrate.c			0	0.211	
6	FAIL	init/init_task.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/init/init_task.c	63193	18	1	1.754	backward static record designator currently requires a direct scalar field
7	PASS	arch/riscv/kernel/pi/cmdline_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/pi/cmdline_early.c			0	0.474	
8	PASS	arch/riscv/kernel/pi/fdt_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/pi/fdt_early.c			0	0.016	
9	PASS	arch/riscv/kernel/pi/string.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/lib/string.c			0	0.414	
10	PASS	arch/riscv/kernel/pi/ctype.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/lib/ctype.c			0	0.003	
11	PASS	arch/riscv/kernel/pi/lib-fdt.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/lib/fdt.c			0	0.018	
12	PASS	arch/riscv/kernel/pi/lib-fdt_ro.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/lib/fdt_ro.c			0	0.019	
13	PASS	arch/riscv/kernel/soc.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/soc.c			0	0.596	
14	PASS	arch/riscv/kernel/alternative.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/alternative.c			0	1.261	
15	PASS	arch/riscv/kernel/cpu.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/cpu.c			0	1.305	
16	PASS	arch/riscv/kernel/cpufeature.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/cpufeature.c			0	1.489	
17	PASS	arch/riscv/kernel/irq.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/irq.c			0	1.647	
18	PASS	arch/riscv/kernel/process.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/process.c			0	1.381	
19	PASS	arch/riscv/kernel/ptrace.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/ptrace.c			0	1.231	
20	PASS	arch/riscv/kernel/reset.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/reset.c			0	0.160	
21	PASS	arch/riscv/kernel/return_address.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v15/linux-6.6.143/arch/riscv/kernel/return_address.c			0	1.316	
