index	status	input	source	line	column	returncode	seconds	message
0	PASS	init/main.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/init/main.c			0	3.743	
1	FAIL	init/version.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/init/version.c	20764	5	1	0.128	expected '=' after static record designator
2	PASS	init/do_mounts.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/init/do_mounts.c			0	5.219	
3	PASS	init/do_mounts_initrd.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/init/do_mounts_initrd.c			0	1.984	
4	PASS	init/initramfs.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/init/initramfs.c			0	1.866	
5	PASS	init/calibrate.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/init/calibrate.c			0	0.200	
6	FAIL	init/init_task.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/init/init_task.c	63265	10	1	1.633	cannot record external record initializer
7	PASS	arch/riscv/kernel/pi/cmdline_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/arch/riscv/kernel/pi/cmdline_early.c			0	0.472	
8	PASS	arch/riscv/kernel/pi/fdt_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/arch/riscv/kernel/pi/fdt_early.c			0	0.017	
9	PASS	arch/riscv/kernel/pi/string.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/lib/string.c			0	0.391	
10	PASS	arch/riscv/kernel/pi/ctype.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/lib/ctype.c			0	0.003	
11	PASS	arch/riscv/kernel/pi/lib-fdt.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/lib/fdt.c			0	0.018	
12	PASS	arch/riscv/kernel/pi/lib-fdt_ro.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/lib/fdt_ro.c			0	0.020	
13	PASS	arch/riscv/kernel/soc.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/arch/riscv/kernel/soc.c			0	0.607	
14	PASS	arch/riscv/kernel/alternative.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v16/linux-6.6.143/arch/riscv/kernel/alternative.c			0	1.300	
