index	status	input	source	line	column	returncode	seconds	message
0	PASS	init/main.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/init/main.c			0	3.417	
1	FAIL	init/version.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/init/version.c	20739	368	1	0.153	integer initializer type mismatch
2	FAIL	init/do_mounts.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/init/do_mounts.c	100901	74	1	4.557	overflow builtin currently requires matching non-bool integer operands and result pointee
3	FAIL	init/do_mounts_initrd.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/init/do_mounts_initrd.c	62265	27	1	1.765	unsupported external object definition
4	FAIL	init/initramfs.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/init/initramfs.c	59388	27	1	1.601	call argument type does not match declaration
5	PASS	init/calibrate.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/init/calibrate.c			0	0.220	
6	FAIL	init/init_task.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/init/init_task.c	63193	18	1	1.841	backward static record designator currently requires a direct scalar field
7	PASS	arch/riscv/kernel/pi/cmdline_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/pi/cmdline_early.c			0	0.499	
8	PASS	arch/riscv/kernel/pi/fdt_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/pi/fdt_early.c			0	0.017	
9	PASS	arch/riscv/kernel/pi/string.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/lib/string.c			0	0.427	
10	PASS	arch/riscv/kernel/pi/ctype.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/lib/ctype.c			0	0.003	
11	PASS	arch/riscv/kernel/pi/lib-fdt.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/lib/fdt.c			0	0.020	
12	PASS	arch/riscv/kernel/pi/lib-fdt_ro.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/lib/fdt_ro.c			0	0.022	
13	PASS	arch/riscv/kernel/soc.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/soc.c			0	0.577	
14	PASS	arch/riscv/kernel/alternative.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/alternative.c			0	1.257	
15	PASS	arch/riscv/kernel/cpu.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/cpu.c			0	1.361	
16	PASS	arch/riscv/kernel/cpufeature.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/cpufeature.c			0	1.573	
17	PASS	arch/riscv/kernel/irq.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/irq.c			0	1.764	
18	PASS	arch/riscv/kernel/process.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/process.c			0	1.388	
19	PASS	arch/riscv/kernel/ptrace.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/ptrace.c			0	1.206	
20	PASS	arch/riscv/kernel/reset.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/reset.c			0	0.171	
21	PASS	arch/riscv/kernel/return_address.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/return_address.c			0	1.312	
22	PASS	arch/riscv/kernel/setup.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/setup.c			0	2.240	
23	PASS	arch/riscv/kernel/signal.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/signal.c			0	1.932	
24	PASS	arch/riscv/kernel/syscall_table.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/syscall_table.c			0	1.878	
25	PASS	arch/riscv/kernel/sys_riscv.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/sys_riscv.c			0	1.944	
26	PASS	arch/riscv/kernel/time.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/time.c			0	1.231	
27	PASS	arch/riscv/kernel/traps.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/traps.c			0	1.912	
28	PASS	arch/riscv/kernel/riscv_ksyms.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/riscv_ksyms.c			0	0.476	
29	PASS	arch/riscv/kernel/stacktrace.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/stacktrace.c			0	1.333	
30	PASS	arch/riscv/kernel/cacheinfo.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/cacheinfo.c			0	1.271	
31	PASS	arch/riscv/kernel/patch.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/patch.c			0	1.256	
32	FAIL	arch/riscv/kernel/vdso.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/vdso.c	48088	49	1	1.007	expected '=' after static record array
33	PASS	arch/riscv/kernel/vector.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/vector.c			0	0.875	
34	PASS	arch/riscv/kernel/smpboot.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/smpboot.c			0	1.636	
35	PASS	arch/riscv/kernel/smp.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/smp.c			0	1.539	
36	PASS	arch/riscv/kernel/cpu_ops.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/cpu_ops.c			0	1.078	
37	FAIL	arch/riscv/kernel/module.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/module.c	45452	33	1	0.982	expected ')' after function declarator
38	PASS	arch/riscv/kernel/module-sections.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/module-sections.c			0	0.874	
39	PASS	arch/riscv/kernel/suspend.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/suspend.c			0	1.307	
40	PASS	arch/riscv/kernel/perf_callchain.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/perf_callchain.c			0	1.695	
41	PASS	arch/riscv/kernel/perf_regs.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/perf_regs.c			0	1.647	
42	PASS	arch/riscv/kernel/sbi.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/sbi.c			0	0.195	
43	PASS	arch/riscv/kernel/sbi-ipi.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/sbi-ipi.c			0	1.524	
44	PASS	arch/riscv/kernel/cpu_ops_sbi.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/cpu_ops_sbi.c			0	0.988	
45	PASS	arch/riscv/kernel/cpu-hotplug.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/cpu-hotplug.c			0	1.428	
46	PASS	arch/riscv/kernel/jump_label.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/jump_label.c			0	0.996	
47	PASS	arch/riscv/kernel/efi.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v12/linux-6.6.143/arch/riscv/kernel/efi.c			0	1.793	
